Tên xe,Thương hiệu,Model,Năm SX,Kiểu dáng,Tình trạng,Xuất xứ,Km đã đi,Tỉnh thành,Quận huyện,Hộp số,Nhiên liệu,Giá
VinFast VF e34 2022,VinFast,VF e34,2022,Hatchback,Xe cũ,Trong nước,10.000 km,Tp.HCM,Thủ Đức,Số tự động,Máy xăng,520 triệu
Kia Carnival 2.2D Signature 2022,Kia,Carnival,2022,Van/Minivan,Xe cũ,Trong nước,45.000 km,Tp.HCM,Thủ Đức,Số tự động,Máy dầu,1 tỉ 290 triệu
Mazda 3 2020,Mazda,3,2020,Hatchback,Xe cũ,Trong nước,42.689 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,539 triệu
Mazda 3 Sedan 1.5L Luxury 2022,Mazda,3,2022,Sedan,Xe cũ,Trong nước,45.689 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,575 triệu
Lexus LM 300h 2021,Lexus,LM,2021,MPV,Xe cũ,Nhập khẩu,54.500 km,Hà Nội,,Số tự động,Máy xăng,5 tỉ 398 triệu
Porsche Cayenne Coupe 2023,Porsche,Cayenne,2023,SUV,Xe cũ,Nhập khẩu,8.500 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,7 tỉ 299 triệu
Suzuki Ertiga Hybrid Ertiga MT 2022,Suzuki,Ertiga,2022,MPV,Xe cũ,Nhập khẩu,60.000 km,Tp.HCM,Thủ Đức,Số tự động,Máy xăng,429 triệu
Mercedes-Benz GLC 300 4Matic V1 2021,Mercedes Benz,GLC,2021,SUV,Xe cũ,Trong nước,38.000 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,1 tỉ 839 triệu
Mazda CX-5 2.0 Luxury 2019,Mazda,CX5,2019,SUV,Xe cũ,Trong nước,36.000 km,Tp.HCM,Quận 2,Số tự động,Máy xăng,675 triệu
Hyundai Santa Fe 2.2L Dầu Cao cấp 2022,Hyundai,SantaFe,2022,SUV,Xe cũ,Trong nước,35.000 km,Tp.HCM,Quận 2,Số tự động,Máy dầu,1 tỉ 185 triệu
Kia Carnival 2.2D Signature 2021,Kia,Carnival,2021,MPV,Xe cũ,Trong nước,26.000 km,Tp.HCM,Quận 2,Số tự động,Máy dầu,1 tỉ 299 triệu
Ford Ranger XLS 2.2 4x2 AT 2023,Ford,Ranger,2023,Bán tải,Xe cũ,Trong nước,16.000 km,Tp.HCM,Tân Phú,Số tự động,Máy dầu,688 triệu
Mitsubishi Xpander 1.5 AT  2023,Mitsubishi,Xpander,2023,,Xe cũ,Nhập khẩu,20.022 km,Tp.HCM,Tân Phú,Số tự động,Máy xăng,578 triệu
Honda CR-V 2.4L TG 2008,Honda,CRV,2008,SUV,Xe cũ,Trong nước,130.000 km,Hà Nội,Long Biên,Số tự động,Máy xăng,310 triệu
Mercedes-Benz C300 AMG 2022,Mercedes Benz,Khác,2022,Sedan,Xe cũ,Trong nước,9.999 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,1 tỉ 850 triệu
Mitsubishi Xpander 2022,Mitsubishi,Xpander,2022,,Xe cũ,Nhập khẩu,72.636 km,Tp.HCM,Tân Phú,Số tự động,Máy xăng,590 triệu
